id	PT	PU	AP	PC	NG	NB	ND	NS	MO	PSN	CH	DABM	DSBM	DSIG	DPXV	DCTC	BRO	COORD_E	COORD_N
161	749970	8333	90	Médio	2	1	3	1	MO	Nao	Nao	1699	5788	2025	4269	948	Trindade	744520	6945280
162	599012	8809	68	Alto	1	2	2	1	MO	Nao	Sim	310	3392	2367	5136	2494	Trindade	744270	6946720
163	929961	10449	89	Alto	2	2	3	1	SM	Sim	Sim	307	3437	2412	5181	2539	Trindade	744236	6946750
164	330000	4125	80	Baixo	1	2	2	1	SM	Nao	Nao	1096	5138	1827	6882	2105	Trindade	744110	6945940
165	598980	8940	67	Alto	1	2	2	1	SM	Nao	Sim	476	3663	1974	5407	2252	Trindade	744367	6946510
166	639975	6095	105	Médio	2	3	3	1	MO	Nao	Nao	1605	5465	2084	5971	1007	Trindade	744721	6945400
167	689000	10600	65	Alto	2	2	2	1	SM	Nao	Sim	388	3654	2063	5398	2341	Trindade	744370	6946600
168	457954	4673	98	Médio	1	2	3	1	SM	Nao	Nao	1898	6683	1952	3968	875	Trindade	744386	6945080
169	549998	4661	118	Médio	1	3	3	2	N	Nao	Sim	1926	6557	1826	4132	749	Trindade	744470	6945050
170	530024	6023	88	Médio	1	2	3	1	N	Nao	Nao	1212	5200	2617	6944	1540	Trindade	744749	6945810
171	299988	5769	52	Médio	1	1	2	0	SM	Nao	Nao	1137	5226	2643	6970	1566	Trindade	744826	6945910
172	690000	9200	75	Alto	1	2	2	1	N	Sim	Nao	263	3437	2412	5181	2539	Trindade	744241	6946810
173	790023	5603	141	Médio	1	3	3	3	SM	Nao	Sim	959	4597	1165	6341	1757	Trindade	744580	6946030
174	319995	4923	65	Baixo	1	2	2	0	N	Nao	Nao	777	3750	1649	5494	1927	Trindade	744468	6946200
175	360000	4800	75	Baixo	1	1	2	0	N	Nao	Sim	1333	5308	2555	7052	1478	Trindade	744900	6945730
176	635035	7471	85	Médio	1	2	3	1	MO	Nao	Sim	861	4760	1449	6504	1727	Trindade	744438	6946120
177	319995	4923	65	Baixo	1	1	3	0	N	Nao	Nao	667	3683	1716	5427	1994	Trindade	744438	6946310
178	549990	7857	70	Médio	2	1	2	1	N	Nao	Nao	737	4955	1644	6699	1922	Trindade	744275	6946260
179	589968	8194	72	Alto	2	1	2	1	N	Nao	Sim	1165	5114	2623	6858	1546	Trindade	744592	6945820
180	294976	4609	64	Baixo	1	1	2	0	N	Nao	Nao	937	3971	1986	5715	2264	Trindade	744045	6946130
181	350025	4667	75	Baixo	1	1	3	0	N	Nao	Nao	1275	5308	2555	7052	1478	Trindade	744913	6945790
182	479960	3692	130	Baixo	1	3	3	1	SM	Nao	Nao	1728	5558	1831	5718	754	Trindade	744628	6945260
183	340032	5152	66	Baixo	1	1	2	0	N	Nao	Nao	1743	5567	1894	5781	817	Trindade	744721	6945260
184	348000	7250	48	Médio	1	1	1	0	SM	Nao	Sim	2115	7040	2309	4120	1232	Trindade	744148	6944880
185	440016	4944	89	Médio	1	2	2	1	N	Nao	Nao	1942	6837	2106	3917	1029	Trindade	744244	6945050
186	505036	4244	119	Baixo	2	3	3	1	N	Nao	Nao	1902	6746	2015	3904	938	Trindade	744295	6945080
187	519979	7123	73	Médio	1	2	2	1	N	Nao	Sim	1903	5852	2146	6033	1069	Trindade	744999	6945160
188	260000	6500	40	Baixo	1	1	1	0	SM	Nao	Sim	430	3702	2013	5446	2291	Trindade	744373	6946550
189	290004	4394	66	Baixo	1	1	3	0	N	Nao	Nao	912	3921	1936	5665	2214	Trindade	744057	6946150
190	694944	4572	152	Médio	1	2	2	1	N	Nao	Sim	907	4532	1221	6276	1797	Trindade	744536	6946080
191	1299980	11818	110	Alto	2	2	3	1	SM	Nao	Nao	668	1050	6937	1836	7196	Centro	742431	6945860
192	535040	5632	95	Baixo	0	3	2	1	MO	Nao	Sim	720	2292	8170	2293	8429	Centro	741257	6945310
193	879954	8627	102	Alto	1	2	3	1	SM	Nao	Sim	113	181	6159	1999	6418	Centro	742421	6946540
194	849968	7589	112	Alto	1	3	3	1	MO	Sim	Sim	598	1285	7160	1511	7419	Centro	742170	6945830
195	457878	6834	67	Médio	1	3	2	2	N	Nao	Nao	1060	1976	7572	818	4808	Centro	742254	6945360
196	441000	7350	60	Médio	0	1	2	0	MO	Nao	Sim	379	1271	7159	1198	7418	Centro	741620	6945840
197	748974	8709	86	Alto	1	2	1	1	SM	Sim	Sim	583	981	6868	1767	7127	Centro	742345	6945920
198	849873	7521	113	Baixo	2	3	3	1	SM	Nao	Nao	644	1480	7433	1356	7692	Centro	742032	6945720
199	1350080	7459	181	Alto	2	1	4	1	SM	Nao	Nao	478	1062	6949	1848	7208	Centro	742308	6946020
200	1290000	10000	129	Médio	2	3	3	1	MO	Nao	Nao	99	1791	7669	2499	7928	Centro	740816	6945880
