"id" "PT" "PU" "AP" "PC" "NG" "NB" "ND" "NS" "MO" "PSN" "CH" "DABM" "DSBM" "DSIG" "DPXV" "DCTC" "BRO" "COORD_E" "COORD_N"
"63" 63 1290060 9556 135 "Médio" 2 4 3 2 "N" "Sim" "Sim" 504 2091 7979 1309 8238 "Centro" 741973 6945846
"64" 64 849986 7522 113 "Médio" 2 3 3 1 "SM" "Nao" "Sim" 633 1515 7467 1391 7726 "Centro" 742002 6945718
"65" 65 679995 9855 69 "Médio" 1 2 2 1 "SM" "Nao" "Nao" 113 3006 8879 2137 9138 "Centro" 742438 6946556
"66" 66 750040 8824 85 "Alto" 1 2 1 1 "MO" "Sim" "Sim" 465 1142 7203 1648 7462 "Centro" 742245 6946002
"67" 67 967694 10634 91 "Alto" 2 2 3 1 "MO" "Sim" "Sim" 237 620 6307 2245 6566 "Centro" 742567 6946529
"68" 68 1200040 7895 152 "Baixo" 2 2 3 1 "SM" "Sim" "Sim" 328 855 6394 1987 6653 "Centro" 742570 6946364
"69" 69 649000 5900 110 "Baixo" 1 3 2 1 "MO" "Nao" "Sim" 853 1733 6873 2187 7132 "Centro" 742538 6945705
"70" 70 560031 7089 79 "Médio" 1 1 2 0 "MO" "Nao" "Sim" 1362 2748 5429 618 4352 "Centro" 742278 6945043
"71" 71 1300043 11927 109 "Alto" 2 3 3 1 "MO" "Nao" "Sim" 906 1932 7820 926 8079 "Centro" 742018 6945429
"72" 72 289018 4738 61 "Baixo" 0 1 2 0 "N" "Nao" "Nao" 801 3387 9260 1685 9519 "Centro" 741327 6945254
"73" 73 900030 4737 190 "Baixo" 2 4 3 1 "SM" "Nao" "Nao" 768 1815 7703 861 7962 "Centro" 741617 6945436
"74" 74 649977 6989 93 "Baixo" 2 2 2 1 "SM" "Nao" "Nao" 498 2000 7878 2114 8137 "Centro" 741183 6945584
"75" 75 2645030 15559 170 "Alto" 4 4 4 3 "MO" "Sim" "Sim" 740 1741 7629 1361 7888 "Centro" 741909 6945563
"76" 76 1390066 9521 146 "Alto" 2 3 4 1 "MO" "Nao" "Sim" 716 2364 8242 2365 8501 "Centro" 741479 6945448
"77" 77 1989954 15426 129 "Alto" 3 3 3 3 "SM" "Sim" "Sim" 343 1056 6931 1702 7190 "Centro" 741983 6946025
"78" 78 269989 7297 37 "Baixo" 1 1 1 1 "N" "Nao" "Nao" 1454 2624 5395 494 4318 "Centro" 742169 6944898
"79" 79 750040 8824 85 "Médio" 1 2 2 0 "MO" "Nao" "Nao" 266 3068 8941 2199 9200 "Centro" 740819 6945421
"80" 80 447002 4217 106 "Baixo" 0 2 2 1 "N" "Nao" "Nao" 707 2264 8142 2265 8401 "Centro" 741257 6945360
"81" 81 955016 7828 122 "Médio" 1 3 3 1 "SM" "Nao" "Sim" 174 2266 8144 2974 8403 "Centro" 740900 6945831
"82" 82 999024 6404 156 "Baixo" 2 5 3 3 "N" "Nao" "Nao" 853 1883 7023 1413 7282 "Centro" 742389 6945642
"83" 83 449988 5844 77 "Médio" 1 1 2 0 "SM" "Sim" "Nao" 1357 2124 7719 662 4476 "Centro" 742378 6945091
"84" 84 893582 8198 109 "Médio" 2 4 3 3 "N" "Sim" "Sim" 669 1088 6749 1855 7008 "Centro" 742673 6945999
"85" 85 1539996 7549 204 "Médio" 2 4 4 2 "SM" "Sim" "Nao" 264 1187 7075 1385 7334 "Centro" 741633 6945969
"86" 86 748044 7556 99 "Baixo" 1 1 3 0 "MO" "Nao" "Sim" 392 1516 7391 1706 7650 "Centro" 741499 6945793
"87" 87 314985 4565 69 "Baixo" 0 1 2 0 "SM" "Nao" "Nao" 880 2406 8284 1927 8543 "Centro" 741487 6945279
"88" 88 285032 3608 79 "Baixo" 0 2 1 0 "MO" "Nao" "Nao" 620 2235 8113 2236 8372 "Centro" 741169 6945362
"89" 89 849990 9770 87 "Alto" 2 2 3 1 "SM" "Nao" "Sim" 947 1955 7843 949 8102 "Centro" 741857 6945323
"90" 90 2380000 11900 200 "Alto" 4 4 4 3 "N" "Sim" "Sim" 462 1913 7801 1131 8060 "Centro" 741866 6945847
"91" 91 1259967 9921 127 "Alto" 2 3 3 3 "N" "Sim" "Sim" 213 623 6309 2367 6568 "Agronomica" 742609 6946804
